r0 máximo,r0 mínimo,r0 aproximado
4.57218749234567,4.57180800039187,4.57199774636877
5.2876566902127315,5.286685309546652,5.287170999879692
3.9436317166746964,3.9424037113626005,3.9430177140186484
3.6491428516779525,3.6473218403144267,3.6482323459961896
3.0720980097365707,3.0698819939941235,3.070990001865347
1.8337582678393225,1.832160134374241,1.8329592011067817
3.1969154174849486,3.1929227746145625,3.1949190960497553
3.773001147340728,3.765552375131896,3.769276761236312
2.7738997442116125,2.7664608933132895,2.770180318762451
2.8461352772208866,2.835728135329869,2.840931706275378
2.5025168023768405,2.49066128029843,2.4965890413376353
3.505679211488972,3.4809906532078587,3.4933349323484153
2.4798146723773136,2.457289528578972,2.468552100478143
2.7035024043249205,2.6711448111848344,2.6873236077548777
3.3357181908414537,3.278591922376556,3.307155056609005
2.9228997954788603,2.8552357454784243,2.8890677704786425
3.315505121548205,3.206760259764617,3.261132690656411
2.954058645945506,2.8238882340297193,2.8889734399876126
3.2312665133418883,3.0353777799103243,3.1333221466261065
3.1131148253599408,2.8602763177618264,2.9866955715608836
3.0341456180813724,2.7119213199542473,2.87303346901781
3.218316162038456,2.7713672569742,2.994841709506328
3.452055035128608,2.8255872749579067,3.1388211550432574
3.699631860835206,2.8285110823820037,3.264071471608605
3.9017076610026695,2.7315271400947756,3.3166174005487226
4.514675409498114,2.794953923260403,3.6548146663792584
5.010633782116183,2.6431698706585136,3.826901826387348
9.257965719732276,3.471714118036354,6.364839918884315
20.809717802066594,3.600246508916965,12.204982155491779
-39.84332080797485,3.7674943914114984,-18.037913208281676
-8.87550287165706,4.740545861860074,-2.067478504898493
-4.549681712902197,5.645430544834534,0.5478744159661684
-3.026254202265929,8.169520257378519,2.571633027556295
-2.2766169638371263,18.42836869308759,8.075875864625232
-1.729743835201547,-60.43239039469597,-31.08106711494876
-1.2813240885452561,-10.40996040935326,-5.845642248949258
-1.0738430220687674,-5.539340497736353,-3.30659175990256
-0.8664869332223963,-3.532538987533635,-2.1995129603780157
-0.6863519713909433,-2.4325735885267727,-1.559462779958858
-0.607012764466525,-1.9412850676235553,-1.27414891604504
-0.5153182447425009,-1.5293795021586865,-1.0223488734505937
-0.4358272195169498,-1.2235633137434734,-0.8296952666302115
-0.40600888287608383,-1.0871193272855135,-0.7465641050807987
-0.3182757550309971,-0.8243558707435372,-0.5713158128872672
-0.2973115732909424,-0.7481162851519568,-0.5227139292214495
-0.27860161935680594,-0.6833442151177661,-0.480972917237286
-0.221376020982557,-0.5329341402145948,-0.37715508059857594
-0.21471917889049566,-0.5080686364792876,-0.3613939076848916
-0.19964016263670897,-0.46521280659773573,-0.33242648461722235
-0.17397621924153758,-0.4003212849547206,-0.28714875209812907
-0.16909559187166429,-0.3845022194724399,-0.2767989056720521
-0.1547586393186074,-0.34824029294354336,-0.2514994661310754
-0.13881346095744837,-0.30955730698198525,-0.22418538396971682
-0.12891500425504585,-0.2851672856905279,-0.20704114497278686
-0.12420418494587732,-0.27266408897457833,-0.19843413696022782
-0.12155565941577964,-0.264895443631202,-0.1932255515234908
-0.10942899609202812,-0.2369312335199314,-0.17318011480597975
-0.10720917530688107,-0.23066677664623358,-0.16893797597655733
-0.09294341813428589,-0.1989104053162916,-0.14592691172528874
-0.0871984661552662,-0.1856993830844568,-0.1364489246198615
-0.08354665480016929,-0.17709237416886978,-0.13031951448451953
-0.07779194035081252,-0.16418438757052142,-0.12098816396066697
-0.07234026672708693,-0.15207210437110275,-0.11220618554909484
-0.06810923201095467,-0.14264473313645945,-0.10537698257370706
-0.060831259385825384,-0.12698437611487062,-0.09390781775034801
-0.055212564544700235,-0.11491780723664216,-0.08506518589067119
-0.05491485986263282,-0.1139644347954464,-0.08443964732903961
-0.046551661297999536,-0.09637482705657444,-0.07146324417728699
-0.043253842260587726,-0.08934971036328279,-0.06630177631193526
-0.042354895723020494,-0.08730468821559342,-0.06482979196930697
-0.03878013278947895,-0.07978088580732753,-0.05928050929840324
-0.03568223722731879,-0.0732784330703719,-0.054480335148845344
-0.03480380573527541,-0.07135219830602699,-0.0530780020206512
-0.030280608777866373,-0.06198873479794504,-0.04613467178790571
-0.026696917083621752,-0.05458431032936583,-0.04064061370649379
-0.028977107306165664,-0.059165915679847976,-0.044071511493006824
-0.026837566665793327,-0.05472896264799452,-0.04078326465689392
-0.02451533303166917,-0.0499370040244017,-0.03722616852803544
-0.023818436858024605,-0.04846453803570067,-0.03614148744686264
-0.021583155563140236,-0.04387347470289601,-0.03272831513301812
-0.020073353715463493,-0.04076788164392561,-0.030420617679694555
-0.020092141838825916,-0.040769465159200706,-0.03043080349901331
-0.018343492373613542,-0.037191076512837346,-0.027767284443225446
-0.016590763731908726,-0.03361319942449058,-0.02510198157819965
-0.016616241388372345,-0.03364054337371817,-0.025128392381045257
-0.015196571548128163,-0.03074628113964715,-0.022971426343887658
-0.014383428969361997,-0.02908330512790832,-0.02173336704863516
-0.013983040922828774,-0.02825696640238915,-0.021120003662608963
-0.011750579838128274,-0.02373410412587479,-0.01774234198200153
-0.011056396537869218,-0.022322028721920878,-0.016689212629895048
-0.01238788562642782,-0.024997590521103202,-0.01869273807376551
-0.010769662217874006,-0.02172278943289394,-0.016246225825383973
-0.010038988311645779,-0.02024096771085036,-0.01513997801124807
-0.009974250738496608,-0.020102560233108545,-0.015038405485802576
-0.008450766466722198,-0.017026563973799185,-0.012738665220260691
-0.008337041158982539,-0.016792171469271058,-0.012564606314126798
-0.00863705730521049,-0.017390824960193722,-0.013013941132702107
-0.008006605259051272,-0.01611662316197004,-0.012061614210510656
-0.007165379215239227,-0.014419563013586593,-0.010792471114412911
-0.00706462589132144,-0.014213218967774251,-0.010638922429547846
-0.006426482047716218,-0.01292644628457285,-0.009676464166144535
-0.0060979908409155795,-0.012263155663015076,-0.009180573251965328
-0.005934720867939445,-0.011932447684932703,-0.008933584276436073
-0.005403889601346973,-0.01086324093155687,-0.008133565266451922
-0.005431975180833503,-0.010917809514543164,-0.008174892347688333
-0.005168766665201134,-0.010387109594034594,-0.007777938129617864
